,Property_ID,Prop_Type,Tax_Key,Address,District_Num,Nbhd_Num,Style,Unit_Count,Fbath_Count,Hbath_Count,Lot_Size,Sale_Date,Sale_Price,Ext_Wall,Story_Count,Year_Built,Room_Count,Finished_Sqft,Bdrm_Count,Condo_Project
5714,228885,Residential,5040826000,2986-2988 S LOGAN AV,14,4500,Duplex O/S,2,2,0,5160,2022-07-25,270000.0,Wood,2.0,1908.0,9.0,2509.0,4.0,
5715,228931,Residential,5040872000,3031 S HERMAN ST,14,4500,Dplx Bungalow,2,2,0,5418,2022-12-16,325000.0,Brick,1.5,1927.0,10.0,2028.0,3.0,
5716,228946,Residential,5040887000,3023 S CLEMENT AV,14,4500,Duplex O/S,2,2,0,4824,2022-07-28,275000.0,Aluminum/Vinyl,1.5,1920.0,10.0,1696.0,4.0,
5717,228992,Residential,5041036000,2819 S CLEMENT AV,14,4500,Res O/S A & 1/2,1,1,0,4422,2022-08-11,260000.0,Aluminum/Vinyl,1.5,1909.0,7.0,1354.0,3.0,
5718,229006,Residential,5041103000,2955 S CALIFORNIA ST,14,4500,Res O/S A & 1/2,1,2,0,5000,2022-03-14,345000.0,Wood,1.5,1917.0,14.0,1582.0,8.0,
5719,229023,Residential,5041120000,2963 S NEVADA ST,14,4500,Ranch,1,1,0,5000,2022-10-17,222000.0,Wood,1.0,1956.0,5.0,1025.0,3.0,
5720,229028,Residential,5041125000,2966 S CALIFORNIA ST,14,4500,Duplex O/S,2,2,0,3750,2022-09-09,300000.0,Stucco,2.0,1900.0,8.0,1728.0,3.0,
5721,229045,Residential,5041142000,1214 E IDAHO ST,14,4500,Res O/S A & 1/2,1,1,1,3000,2022-01-13,145000.0,Aluminum/Vinyl,1.5,1896.0,5.0,1118.0,3.0,
5722,229045,Residential,5041142000,1214 E IDAHO ST,14,4500,Res O/S A & 1/2,1,1,1,3000,2022-06-01,268000.0,Aluminum/Vinyl,1.5,1896.0,5.0,1118.0,3.0,
5723,229089,Residential,5050012000,335 E MONTANA ST,14,4910,Res O/S A & 1/2,1,2,0,4740,2022-11-17,317000.0,Aluminum/Vinyl,1.5,1921.0,14.0,1210.0,5.0,
5724,229120,Residential,5050122000,2738 S QUINCY AV,14,4500,Milwaukee Bungalow,1,1,1,4255,2022-09-26,375000.0,Brick,1.5,1924.0,7.0,2046.0,4.0,
